creationDate		 modificationDate	 substring		Filesize
|27.10.2017 10:35:39|	|25.10.2017 08:52:46|	|2017-10-25_08-51-42|	|  193.07 KB|
|27.10.2017 10:35:40|	|25.10.2017 09:09:44|	|2017-10-25_08-54-09|	| 2917.04 KB|
|27.10.2017 10:35:40|	|25.10.2017 09:15:12|	|2017-10-25_09-10-22|	|  911.03 KB|
|27.10.2017 10:35:41|	|25.10.2017 09:51:26|	|2017-10-25_09-15-12|	| 6789.39 KB|
|27.10.2017 10:35:43|	|25.10.2017 10:14:04|	|2017-10-25_09-52-18|	| 3997.55 KB|
|27.10.2017 10:35:45|	|25.10.2017 10:14:14|	|2017-10-25_10-14-10|	|    3.78 KB|
|27.10.2017 10:35:45|	|25.10.2017 10:15:02|	|2017-10-25_10-15-00|	|    6.72 KB|
|27.10.2017 10:35:45|	|25.10.2017 10:25:14|	|2017-10-25_10-15-02|	| 1925.67 KB|
|27.10.2017 10:35:45|	|25.10.2017 10:35:58|	|2017-10-25_10-25-14|	| 2023.89 KB|
|27.10.2017 10:35:48|	|25.10.2017 11:32:04|	|2017-10-25_10-47-56|	| 8228.54 KB|
|27.10.2017 10:35:50|	|25.10.2017 12:44:54|	|2017-10-25_12-44-52|	|    1.78 KB|
|27.10.2017 10:35:50|	|25.10.2017 12:45:28|	|2017-10-25_12-45-25|	|    1.83 KB|
|27.10.2017 10:35:50|	|25.10.2017 12:45:50|	|2017-10-25_12-45-47|	|    1.73 KB|
|27.10.2017 10:35:50|	|25.10.2017 12:47:10|	|2017-10-25_12-47-07|	|    1.28 KB|
|27.10.2017 10:35:50|	|25.10.2017 12:47:12|	|2017-10-25_12-47-10|	|    1.12 KB|
|27.10.2017 10:35:50|	|25.10.2017 12:48:02|	|2017-10-25_12-47-55|	|    4.03 KB|
|27.10.2017 10:35:50|	|25.10.2017 12:48:40|	|2017-10-25_12-48-37|	|    1.12 KB|
|27.10.2017 10:35:50|	|25.10.2017 12:48:40|	|2017-10-25_12-48-38|	|    0.97 KB|
|27.10.2017 10:35:50|	|25.10.2017 12:49:36|	|2017-10-25_12-49-32|	|    3.31 KB|
|27.10.2017 10:35:50|	|25.10.2017 12:49:58|	|2017-10-25_12-49-56|	|    2.95 KB|
|27.10.2017 10:35:50|	|25.10.2017 12:51:12|	|2017-10-25_12-51-09|	|    2.60 KB|
|27.10.2017 10:35:50|	|25.10.2017 12:51:12|	|2017-10-25_12-51-10|	|    1.69 KB|
|27.10.2017 10:35:52|	|25.10.2017 12:51:14|	|2017-10-25_12-51-12|	|    1.88 KB|
|27.10.2017 10:35:52|	|25.10.2017 12:51:32|	|2017-10-25_12-51-29|	|    2.15 KB|
|27.10.2017 10:35:52|	|25.10.2017 12:51:32|	|2017-10-25_12-51-31|	|    1.49 KB|
|27.10.2017 10:35:52|	|25.10.2017 12:53:00|	|2017-10-25_12-52-55|	|    6.60 KB|
|27.10.2017 10:35:52|	|25.10.2017 12:53:20|	|2017-10-25_12-53-17|	|    2.67 KB|
|27.10.2017 10:35:53|	|25.10.2017 12:53:22|	|2017-10-25_12-53-19|	|    1.80 KB|
|27.10.2017 10:35:53|	|25.10.2017 12:53:22|	|2017-10-25_12-53-20|	|    1.48 KB|
|27.10.2017 10:35:53|	|25.10.2017 12:55:30|	|2017-10-25_12-55-27|	|    2.88 KB|
|27.10.2017 10:35:53|	|25.10.2017 12:55:30|	|2017-10-25_12-55-29|	|    1.72 KB|
|27.10.2017 10:35:53|	|25.10.2017 12:59:22|	|2017-10-25_12-59-20|	|    3.16 KB|
|27.10.2017 10:35:53|	|25.10.2017 12:59:26|	|2017-10-25_12-59-23|	|    1.73 KB|
|27.10.2017 10:35:53|	|25.10.2017 13:20:44|	|2017-10-25_13-00-29|	| 3742.71 KB|
|27.10.2017 10:35:54|	|25.10.2017 13:33:48|	|2017-10-25_13-20-45|	| 2425.49 KB|
|27.10.2017 10:35:55|	|25.10.2017 13:37:44|	|2017-10-25_13-37-40|	|   12.92 KB|
|27.10.2017 10:35:55|	|25.10.2017 14:01:38|	|2017-10-25_13-37-56|	| 4499.81 KB|
|27.10.2017 10:35:58|	|25.10.2017 16:04:22|	|2017-10-25_15-43-12|	| 3832.59 KB|
|27.10.2017 10:36:00|	|25.10.2017 16:19:48|	|2017-10-25_16-06-04|	| 2584.11 KB|
